"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","781","5222  >  50912 [PSH, ACK] Seq=1 Ack=1 Win=1520 Len=707 [TCP segment of a reassembled PDU]"
"2","0.000000","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","781","[TCP Retransmission] 5222  >  50912 [PSH, ACK] Seq=1 Ack=1 Win=1520 Len=707"
"3","0.000183","2a06:c701:4f73:a700:9400:aba7:e96d:df75","2a03:2880:f242:1c7:face:b00c:0:7260","TCP","86","50912  >  5222 [ACK] Seq=1 Ack=708 Win=516 Len=0 SLE=1 SRE=708"
"4","0.027187","2a06:c701:4f73:a700:9400:aba7:e96d:df75","2a03:2880:f242:1c7:face:b00c:0:7260","TCP","137","50912  >  5222 [PSH, ACK] Seq=1 Ack=708 Win=516 Len=63 [TCP segment of a reassembled PDU]"
"5","0.077635","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","74","5222  >  50912 [ACK] Seq=708 Ack=64 Win=1520 Len=0"
"58","9.830194","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","1466","5222  >  50912 [ACK] Seq=708 Ack=64 Win=1520 Len=1392 [TCP segment of a reassembled PDU]"
"59","9.830194","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","173","5222  >  50912 [PSH, ACK] Seq=2100 Ack=64 Win=1520 Len=99 [TCP segment of a reassembled PDU]"
"60","9.830194","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","730","5222  >  50912 [PSH, ACK] Seq=2199 Ack=64 Win=1520 Len=656 [TCP segment of a reassembled PDU]"
"61","9.830384","2a06:c701:4f73:a700:9400:aba7:e96d:df75","2a03:2880:f242:1c7:face:b00c:0:7260","TCP","74","50912  >  5222 [ACK] Seq=64 Ack=2855 Win=516 Len=0"
"62","9.850973","2a06:c701:4f73:a700:9400:aba7:e96d:df75","2a03:2880:f242:1c7:face:b00c:0:7260","TCP","137","50912  >  5222 [PSH, ACK] Seq=64 Ack=2855 Win=516 Len=63 [TCP segment of a reassembled PDU]"
"63","9.898753","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","74","5222  >  50912 [ACK] Seq=2855 Ack=127 Win=1520 Len=0"
"90","22.731414","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","941","5222  >  50912 [PSH, ACK] Seq=2855 Ack=127 Win=1520 Len=867 [TCP segment of a reassembled PDU]"
"91","22.756364","2a06:c701:4f73:a700:9400:aba7:e96d:df75","2a03:2880:f242:1c7:face:b00c:0:7260","TCP","137","50912  >  5222 [PSH, ACK] Seq=127 Ack=3722 Win=513 Len=63 [TCP segment of a reassembled PDU]"
"92","22.759173","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","941","[TCP Spurious Retransmission] 5222  >  50912 [PSH, ACK] Seq=2855 Ack=127 Win=1520 Len=867"
"93","22.759267","2a06:c701:4f73:a700:9400:aba7:e96d:df75","2a03:2880:f242:1c7:face:b00c:0:7260","TCP","86","[TCP Dup ACK 91#1] 50912  >  5222 [ACK] Seq=190 Ack=3722 Win=513 Len=0 SLE=2855 SRE=3722"
"94","22.804256","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","74","5222  >  50912 [ACK] Seq=3722 Ack=190 Win=1520 Len=0"
"163","38.092257","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","877","5222  >  50912 [PSH, ACK] Seq=3722 Ack=190 Win=1520 Len=803 [TCP segment of a reassembled PDU]"
"164","38.128021","2a06:c701:4f73:a700:9400:aba7:e96d:df75","2a03:2880:f242:1c7:face:b00c:0:7260","TCP","137","50912  >  5222 [PSH, ACK] Seq=190 Ack=4525 Win=516 Len=63 [TCP segment of a reassembled PDU]"
"165","38.145636","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","877","[TCP Spurious Retransmission] 5222  >  50912 [PSH, ACK] Seq=3722 Ack=190 Win=1520 Len=803"
"166","38.145714","2a06:c701:4f73:a700:9400:aba7:e96d:df75","2a03:2880:f242:1c7:face:b00c:0:7260","TCP","86","[TCP Dup ACK 164#1] 50912  >  5222 [ACK] Seq=253 Ack=4525 Win=516 Len=0 SLE=3722 SRE=4525"
"167","38.183376","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","74","5222  >  50912 [ACK] Seq=4525 Ack=253 Win=1520 Len=0"
