"No.","Time","Source","Destination","Protocol","Length","Info"
"17","1.720851","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=1 Ack=1 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"18","1.720851","157.240.195.54","10.0.0.6","TCP","153","5222  >  56478 [PSH, ACK] Seq=1393 Ack=1 Win=3489 Len=99 [TCP segment of a reassembled PDU]"
"19","1.721052","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=1 Ack=1492 Win=516 Len=0"
"20","1.722763","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=1492 Ack=1 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"21","1.722763","157.240.195.54","10.0.0.6","TCP","162","5222  >  56478 [PSH, ACK] Seq=2884 Ack=1 Win=3489 Len=108 [TCP segment of a reassembled PDU]"
"22","1.722909","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=1 Ack=2992 Win=516 Len=0"
"23","1.725216","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=2992 Ack=1 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"24","1.725216","157.240.195.54","10.0.0.6","TCP","162","5222  >  56478 [PSH, ACK] Seq=4384 Ack=1 Win=3489 Len=108 [TCP segment of a reassembled PDU]"
"25","1.725351","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=1 Ack=4492 Win=516 Len=0"
"26","1.727809","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=4492 Ack=1 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"27","1.727809","157.240.195.54","10.0.0.6","TCP","315","5222  >  56478 [PSH, ACK] Seq=5884 Ack=1 Win=3489 Len=261 [TCP segment of a reassembled PDU]"
"28","1.727979","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=1 Ack=6145 Win=516 Len=0"
"29","1.731029","157.240.195.54","10.0.0.6","TCP","310","5222  >  56478 [PSH, ACK] Seq=6145 Ack=1 Win=3489 Len=256 [TCP segment of a reassembled PDU]"
"30","1.757298","10.0.0.6","157.240.195.54","TCP","115","56478  >  5222 [PSH, ACK] Seq=1 Ack=6401 Win=515 Len=61 [TCP segment of a reassembled PDU]"
"32","1.811291","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=6401 Ack=62 Win=3489 Len=0"
"60","17.923231","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=6401 Ack=62 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"61","17.923231","157.240.195.54","10.0.0.6","TCP","153","5222  >  56478 [PSH, ACK] Seq=7793 Ack=62 Win=3489 Len=99 [TCP segment of a reassembled PDU]"
"62","17.923451","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=62 Ack=7892 Win=516 Len=0"
"63","17.924885","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=7892 Ack=62 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"64","17.924885","157.240.195.54","10.0.0.6","TCP","162","5222  >  56478 [PSH, ACK] Seq=9284 Ack=62 Win=3489 Len=108 [TCP segment of a reassembled PDU]"
"65","17.924885","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=9392 Ack=62 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"66","17.924885","157.240.195.54","10.0.0.6","TCP","162","5222  >  56478 [PSH, ACK] Seq=10784 Ack=62 Win=3489 Len=108 [TCP segment of a reassembled PDU]"
"67","17.924885","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=10892 Ack=62 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
