"No.","Time","Source","Destination","Protocol","Length","Info"
"16","1.863876","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=1 Ack=1 Win=3576 Len=1392 [TCP segment of a reassembled PDU]"
"17","1.863876","157.240.195.54","10.0.0.6","TCP","153","5222  >  56478 [PSH, ACK] Seq=1393 Ack=1 Win=3576 Len=99 [TCP segment of a reassembled PDU]"
"18","1.863979","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=1 Ack=1492 Win=516 Len=0"
"19","1.866428","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=1492 Ack=1 Win=3576 Len=1392 [TCP segment of a reassembled PDU]"
"20","1.866428","157.240.195.54","10.0.0.6","TCP","162","5222  >  56478 [PSH, ACK] Seq=2884 Ack=1 Win=3576 Len=108 [TCP segment of a reassembled PDU]"
"21","1.866428","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=2992 Ack=1 Win=3576 Len=1392 [TCP segment of a reassembled PDU]"
"22","1.866428","157.240.195.54","10.0.0.6","TCP","162","5222  >  56478 [PSH, ACK] Seq=4384 Ack=1 Win=3576 Len=108 [TCP segment of a reassembled PDU]"
"23","1.866485","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=1 Ack=4492 Win=516 Len=0"
"24","1.868805","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=4492 Ack=1 Win=3576 Len=1392 [TCP segment of a reassembled PDU]"
"25","1.868805","157.240.195.54","10.0.0.6","TCP","315","5222  >  56478 [PSH, ACK] Seq=5884 Ack=1 Win=3576 Len=261 [TCP segment of a reassembled PDU]"
"26","1.868842","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=1 Ack=6145 Win=516 Len=0"
"27","1.869599","157.240.195.54","10.0.0.6","TCP","312","5222  >  56478 [PSH, ACK] Seq=6145 Ack=1 Win=3576 Len=258 [TCP segment of a reassembled PDU]"
"28","1.883538","10.0.0.6","157.240.195.54","TCP","117","56478  >  5222 [PSH, ACK] Seq=1 Ack=6403 Win=515 Len=63 [TCP segment of a reassembled PDU]"
"30","1.937230","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=6403 Ack=64 Win=3576 Len=0"
"49","6.857652","157.240.195.54","10.0.0.6","TCP","247","5222  >  56478 [PSH, ACK] Seq=6403 Ack=64 Win=3576 Len=193 [TCP segment of a reassembled PDU]"
"50","6.861070","10.0.0.6","157.240.195.54","TCP","111","56478  >  5222 [PSH, ACK] Seq=64 Ack=6596 Win=514 Len=57 [TCP segment of a reassembled PDU]"
"51","6.861208","10.0.0.6","157.240.195.54","TCP","100","56478  >  5222 [PSH, ACK] Seq=121 Ack=6596 Win=514 Len=46 [TCP segment of a reassembled PDU]"
"52","6.913898","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=6596 Ack=167 Win=3576 Len=0"
"53","7.026368","157.240.195.54","10.0.0.6","TCP","154","5222  >  56478 [PSH, ACK] Seq=6596 Ack=167 Win=3576 Len=100 [TCP segment of a reassembled PDU]"
"54","7.035234","10.0.0.6","157.240.195.54","TCP","175","56478  >  5222 [PSH, ACK] Seq=167 Ack=6696 Win=514 Len=121 [TCP segment of a reassembled PDU]"
"55","7.088869","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=6696 Ack=288 Win=3576 Len=0"
"56","7.190870","157.240.195.54","10.0.0.6","TCP","296","5222  >  56478 [PSH, ACK] Seq=6696 Ack=288 Win=3576 Len=242 [TCP segment of a reassembled PDU]"
"57","7.236272","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=288 Ack=6938 Win=513 Len=0"
"419","15.902790","157.240.195.54","10.0.0.6","TCP","662","5222  >  56478 [PSH, ACK] Seq=6938 Ack=288 Win=3576 Len=608 [TCP segment of a reassembled PDU]"
"420","15.915132","10.0.0.6","157.240.195.54","TCP","117","56478  >  5222 [PSH, ACK] Seq=288 Ack=7546 Win=516 Len=63 [TCP segment of a reassembled PDU]"
"422","15.968669","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=7546 Ack=351 Win=3576 Len=0"
"453","25.901928","157.240.195.54","10.0.0.6","TCP","117","5222  >  56478 [PSH, ACK] Seq=7546 Ack=351 Win=3576 Len=63 [TCP segment of a reassembled PDU]"
"454","25.904139","10.0.0.6","157.240.195.54","TCP","99","56478  >  5222 [PSH, ACK] Seq=351 Ack=7609 Win=516 Len=45 [TCP segment of a reassembled PDU]"
"455","25.957485","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=7609 Ack=396 Win=3576 Len=0"
"517","31.204153","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=7609 Ack=396 Win=3576 Len=1392 [TCP segment of a reassembled PDU]"
"518","31.204153","157.240.195.54","10.0.0.6","TCP","153","5222  >  56478 [PSH, ACK] Seq=9001 Ack=396 Win=3576 Len=99 [TCP segment of a reassembled PDU]"
"519","31.204247","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=396 Ack=9100 Win=516 Len=0"
"520","31.205434","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=9100 Ack=396 Win=3576 Len=1392 [TCP segment of a reassembled PDU]"
"521","31.205434","157.240.195.54","10.0.0.6","TCP","162","5222  >  56478 [PSH, ACK] Seq=10492 Ack=396 Win=3576 Len=108 [TCP segment of a reassembled PDU]"
"522","31.205487","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=396 Ack=10600 Win=516 Len=0"
"523","31.206304","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=10600 Ack=396 Win=3576 Len=1392 [TCP segment of a reassembled PDU]"
"524","31.206304","157.240.195.54","10.0.0.6","TCP","162","5222  >  56478 [PSH, ACK] Seq=11992 Ack=396 Win=3576 Len=108 [TCP segment of a reassembled PDU]"
"525","31.206342","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=396 Ack=12100 Win=516 Len=0"
"526","31.209004","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=12100 Ack=396 Win=3576 Len=1392 [TCP segment of a reassembled PDU]"
"527","31.209004","157.240.195.54","10.0.0.6","TCP","315","5222  >  56478 [PSH, ACK] Seq=13492 Ack=396 Win=3576 Len=261 [TCP segment of a reassembled PDU]"
"528","31.209065","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=396 Ack=13753 Win=516 Len=0"
"529","31.209837","157.240.195.54","10.0.0.6","TCP","1208","5222  >  56478 [PSH, ACK] Seq=13753 Ack=396 Win=3576 Len=1154 [TCP segment of a reassembled PDU]"
"530","31.221718","10.0.0.6","157.240.195.54","TCP","117","56478  >  5222 [PSH, ACK] Seq=396 Ack=14907 Win=512 Len=63 [TCP segment of a reassembled PDU]"
"532","31.275063","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=14907 Ack=459 Win=3576 Len=0"
"612","46.603074","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=14907 Ack=459 Win=3576 Len=1392 [TCP segment of a reassembled PDU]"
"613","46.603074","157.240.195.54","10.0.0.6","TCP","153","5222  >  56478 [PSH, ACK] Seq=16299 Ack=459 Win=3576 Len=99 [TCP segment of a reassembled PDU]"
"614","46.603163","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=459 Ack=16398 Win=516 Len=0"
"615","46.604910","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=16398 Ack=459 Win=3576 Len=1392 [TCP segment of a reassembled PDU]"
"616","46.604910","157.240.195.54","10.0.0.6","TCP","162","5222  >  56478 [PSH, ACK] Seq=17790 Ack=459 Win=3576 Len=108 [TCP segment of a reassembled PDU]"
"617","46.604910","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=17898 Ack=459 Win=3576 Len=1392 [TCP segment of a reassembled PDU]"
"618","46.604960","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=459 Ack=19290 Win=516 Len=0"
"619","46.605595","157.240.195.54","10.0.0.6","TCP","681","5222  >  56478 [PSH, ACK] Seq=19290 Ack=459 Win=3576 Len=627 [TCP segment of a reassembled PDU]"
"620","46.605641","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=459 Ack=19917 Win=514 Len=0"
"621","46.617081","10.0.0.6","157.240.195.54","TCP","117","56478  >  5222 [PSH, ACK] Seq=459 Ack=19917 Win=514 Len=63 [TCP segment of a reassembled PDU]"
"623","46.669333","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=19917 Ack=522 Win=3576 Len=0"
"636","54.948837","157.240.195.54","10.0.0.6","TCP","118","5222  >  56478 [PSH, ACK] Seq=19917 Ack=522 Win=3576 Len=64 [TCP segment of a reassembled PDU]"
"637","54.949890","10.0.0.6","157.240.195.54","TCP","100","56478  >  5222 [PSH, ACK] Seq=522 Ack=19981 Win=513 Len=46 [TCP segment of a reassembled PDU]"
"638","55.002023","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=19981 Ack=568 Win=3576 Len=0"
"703","60.352243","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=19981 Ack=568 Win=3576 Len=1392 [TCP segment of a reassembled PDU]"
"704","60.352243","157.240.195.54","10.0.0.6","TCP","153","5222  >  56478 [PSH, ACK] Seq=21373 Ack=568 Win=3576 Len=99 [TCP segment of a reassembled PDU]"
"705","60.352243","157.240.195.54","10.0.0.6","TCP","373","5222  >  56478 [PSH, ACK] Seq=21472 Ack=568 Win=3576 Len=319 [TCP segment of a reassembled PDU]"
"706","60.352407","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=568 Ack=21791 Win=516 Len=0"
"707","60.375754","10.0.0.6","157.240.195.54","TCP","117","56478  >  5222 [PSH, ACK] Seq=568 Ack=21791 Win=516 Len=63 [TCP segment of a reassembled PDU]"
"709","60.432347","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=21791 Ack=631 Win=3576 Len=0"
"778","76.653228","157.240.195.54","10.0.0.6","TCP","566","5222  >  56478 [PSH, ACK] Seq=21791 Ack=631 Win=3576 Len=512 [TCP segment of a reassembled PDU]"
"779","76.667322","10.0.0.6","157.240.195.54","TCP","117","56478  >  5222 [PSH, ACK] Seq=631 Ack=22303 Win=514 Len=63 [TCP segment of a reassembled PDU]"
"782","76.719625","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=22303 Ack=694 Win=3576 Len=0"
"890","86.231651","157.240.195.54","10.0.0.6","TCP","327","5222  >  56478 [PSH, ACK] Seq=22303 Ack=694 Win=3576 Len=273 [TCP segment of a reassembled PDU]"
"891","86.265570","10.0.0.6","157.240.195.54","TCP","118","56478  >  5222 [PSH, ACK] Seq=694 Ack=22576 Win=513 Len=64 [TCP segment of a reassembled PDU]"
"892","86.318417","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=22576 Ack=758 Win=3576 Len=0"
"1073","91.010647","157.240.195.54","10.0.0.6","TCP","295","5222  >  56478 [PSH, ACK] Seq=22576 Ack=758 Win=3576 Len=241 [TCP segment of a reassembled PDU]"
"1074","91.032547","10.0.0.6","157.240.195.54","TCP","118","56478  >  5222 [PSH, ACK] Seq=758 Ack=22817 Win=512 Len=64 [TCP segment of a reassembled PDU]"
