"No.","Time","Source","Destination","Protocol","Length","Info"
"2","0.462904","157.240.252.61","192.168.31.254","TCP","254","80  >  53869 [PSH, ACK] Seq=1 Ack=1 Win=53 Len=200"
"3","0.472185","192.168.31.254","157.240.252.61","TCP","106","53869  >  80 [PSH, ACK] Seq=1 Ack=201 Win=511 Len=52"
"4","0.477250","157.240.252.61","192.168.31.254","TCP","54","80  >  53869 [ACK] Seq=201 Ack=53 Win=53 Len=0"
"5","1.110011","157.240.252.61","192.168.31.254","TCP","299","80  >  53869 [PSH, ACK] Seq=201 Ack=53 Win=53 Len=245"
"6","1.118353","192.168.31.254","157.240.252.61","TCP","123","53869  >  80 [PSH, ACK] Seq=53 Ack=446 Win=510 Len=69"
"7","1.128630","157.240.252.61","192.168.31.254","TCP","54","80  >  53869 [ACK] Seq=446 Ack=122 Win=53 Len=0"
"29","11.703857","157.240.252.61","192.168.31.254","TCP","671","80  >  53869 [PSH, ACK] Seq=446 Ack=122 Win=53 Len=617"
"30","11.717915","192.168.31.254","157.240.252.61","TCP","123","53869  >  80 [PSH, ACK] Seq=122 Ack=1063 Win=515 Len=69"
"31","11.722900","157.240.252.61","192.168.31.254","TCP","54","80  >  53869 [ACK] Seq=1063 Ack=191 Win=53 Len=0"
"67","21.782644","157.240.252.61","192.168.31.254","TCP","1055","80  >  53869 [PSH, ACK] Seq=1063 Ack=191 Win=53 Len=1001"
"68","21.797482","192.168.31.254","157.240.252.61","TCP","123","53869  >  80 [PSH, ACK] Seq=191 Ack=2064 Win=511 Len=69"
"69","21.805035","157.240.252.61","192.168.31.254","TCP","54","80  >  53869 [ACK] Seq=2064 Ack=260 Win=53 Len=0"
"92","33.981018","157.240.252.61","192.168.31.254","TCP","299","80  >  53869 [PSH, ACK] Seq=2064 Ack=260 Win=53 Len=245"
"93","33.990159","192.168.31.254","157.240.252.61","TCP","123","53869  >  80 [PSH, ACK] Seq=260 Ack=2309 Win=510 Len=69"
"94","33.996196","157.240.252.61","192.168.31.254","TCP","54","80  >  53869 [ACK] Seq=2309 Ack=329 Win=53 Len=0"
"98","37.683820","157.240.252.61","192.168.31.254","TCP","130","80  >  53869 [PSH, ACK] Seq=2309 Ack=329 Win=53 Len=76"
"99","37.686709","192.168.31.254","157.240.252.61","TCP","126","53869  >  80 [PSH, ACK] Seq=329 Ack=2385 Win=510 Len=72"
"100","37.692136","157.240.252.61","192.168.31.254","TCP","54","80  >  53869 [ACK] Seq=2385 Ack=401 Win=53 Len=0"
"106","41.919357","157.240.252.61","192.168.31.254","TCP","655","80  >  53869 [PSH, ACK] Seq=2385 Ack=401 Win=53 Len=601"
"107","41.934225","192.168.31.254","157.240.252.61","TCP","123","53869  >  80 [PSH, ACK] Seq=401 Ack=2986 Win=515 Len=69"
"108","41.938979","157.240.252.61","192.168.31.254","TCP","54","80  >  53869 [ACK] Seq=2986 Ack=470 Win=53 Len=0"
"117","51.139698","157.240.252.61","192.168.31.254","TCP","1055","80  >  53869 [PSH, ACK] Seq=2986 Ack=470 Win=53 Len=1001"
"118","51.147145","192.168.31.254","157.240.252.61","TCP","123","53869  >  80 [PSH, ACK] Seq=470 Ack=3987 Win=511 Len=69"
"119","51.152987","157.240.252.61","192.168.31.254","TCP","54","80  >  53869 [ACK] Seq=3987 Ack=539 Win=53 Len=0"
"141","61.621056","157.240.252.61","192.168.31.254","TCP","299","80  >  53869 [PSH, ACK] Seq=3987 Ack=539 Win=53 Len=245"
