"No.","Time","Source","Destination","Protocol","Length","Info"
"5","2.765230","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","1466","5222  >  50912 [ACK] Seq=1 Ack=1 Win=1487 Len=1392 [TCP segment of a reassembled PDU]"
"6","2.765230","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","173","5222  >  50912 [PSH, ACK] Seq=1393 Ack=1 Win=1487 Len=99 [TCP segment of a reassembled PDU]"
"7","2.765230","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","1466","5222  >  50912 [ACK] Seq=1492 Ack=1 Win=1487 Len=1392 [TCP segment of a reassembled PDU]"
"8","2.765230","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","182","5222  >  50912 [PSH, ACK] Seq=2884 Ack=1 Win=1487 Len=108 [TCP segment of a reassembled PDU]"
"9","2.765230","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","1054","5222  >  50912 [PSH, ACK] Seq=2992 Ack=1 Win=1487 Len=980 [TCP segment of a reassembled PDU]"
"10","2.765230","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","1054","[TCP Retransmission] 5222  >  50912 [PSH, ACK] Seq=2992 Ack=1 Win=1487 Len=980"
"11","2.765573","2a06:c701:4f73:a700:9400:aba7:e96d:df75","2a03:2880:f242:1c7:face:b00c:0:7260","TCP","86","50912  >  5222 [ACK] Seq=1 Ack=3972 Win=516 Len=0 SLE=2992 SRE=3972"
"12","2.842112","2a06:c701:4f73:a700:9400:aba7:e96d:df75","2a03:2880:f242:1c7:face:b00c:0:7260","TCP","137","50912  >  5222 [PSH, ACK] Seq=1 Ack=3972 Win=516 Len=63 [TCP segment of a reassembled PDU]"
"13","2.892588","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","74","5222  >  50912 [ACK] Seq=3972 Ack=64 Win=1487 Len=0"
"61","13.004986","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","1466","5222  >  50912 [ACK] Seq=3972 Ack=64 Win=1487 Len=1392 [TCP segment of a reassembled PDU]"
"62","13.004986","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","173","5222  >  50912 [PSH, ACK] Seq=5364 Ack=64 Win=1487 Len=99 [TCP segment of a reassembled PDU]"
"63","13.004986","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","1466","5222  >  50912 [ACK] Seq=5463 Ack=64 Win=1487 Len=1392 [TCP segment of a reassembled PDU]"
"64","13.004986","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","182","5222  >  50912 [PSH, ACK] Seq=6855 Ack=64 Win=1487 Len=108 [TCP segment of a reassembled PDU]"
"65","13.004986","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","XMPP/XML","830","UNKNOWN PACKET "
"66","13.005246","2a06:c701:4f73:a700:9400:aba7:e96d:df75","2a03:2880:f242:1c7:face:b00c:0:7260","TCP","74","50912  >  5222 [ACK] Seq=64 Ack=7719 Win=516 Len=0"
"67","13.029889","2a06:c701:4f73:a700:9400:aba7:e96d:df75","2a03:2880:f242:1c7:face:b00c:0:7260","TCP","137","50912  >  5222 [PSH, ACK] Seq=64 Ack=7719 Win=516 Len=63 [TCP segment of a reassembled PDU]"
"68","13.077920","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","74","5222  >  50912 [ACK] Seq=7719 Ack=127 Win=1487 Len=0"
"159","22.937662","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","1466","5222  >  50912 [ACK] Seq=7719 Ack=127 Win=1487 Len=1392 [TCP segment of a reassembled PDU]"
"160","22.937662","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","173","5222  >  50912 [PSH, ACK] Seq=9111 Ack=127 Win=1487 Len=99 [TCP segment of a reassembled PDU]"
"161","22.937662","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","1466","5222  >  50912 [ACK] Seq=9210 Ack=127 Win=1487 Len=1392 [TCP segment of a reassembled PDU]"
"162","22.937662","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","182","5222  >  50912 [PSH, ACK] Seq=10602 Ack=127 Win=1487 Len=108 [TCP segment of a reassembled PDU]"
"163","22.937904","2a06:c701:4f73:a700:9400:aba7:e96d:df75","2a03:2880:f242:1c7:face:b00c:0:7260","TCP","74","50912  >  5222 [ACK] Seq=127 Ack=10710 Win=516 Len=0"
"164","22.954516","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","398","5222  >  50912 [PSH, ACK] Seq=10710 Ack=127 Win=1487 Len=324 [TCP segment of a reassembled PDU]"
"165","22.974944","2a06:c701:4f73:a700:9400:aba7:e96d:df75","2a03:2880:f242:1c7:face:b00c:0:7260","TCP","137","50912  >  5222 [PSH, ACK] Seq=127 Ack=11034 Win=515 Len=63 [TCP segment of a reassembled PDU]"
"166","23.023224","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","74","5222  >  50912 [ACK] Seq=11034 Ack=190 Win=1487 Len=0"
"180","33.483852","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","1466","5222  >  50912 [ACK] Seq=11034 Ack=190 Win=1487 Len=1392 [TCP segment of a reassembled PDU]"
"181","33.484224","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","173","5222  >  50912 [PSH, ACK] Seq=12426 Ack=190 Win=1487 Len=99 [TCP segment of a reassembled PDU]"
"182","33.484224","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","1466","5222  >  50912 [ACK] Seq=12525 Ack=190 Win=1487 Len=1392 [TCP segment of a reassembled PDU]"
"183","33.484224","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","182","5222  >  50912 [PSH, ACK] Seq=13917 Ack=190 Win=1487 Len=108 [TCP segment of a reassembled PDU]"
"184","33.484224","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","XMPP/XML","1054","UNKNOWN PACKET "
"185","33.484380","2a06:c701:4f73:a700:9400:aba7:e96d:df75","2a03:2880:f242:1c7:face:b00c:0:7260","TCP","74","50912  >  5222 [ACK] Seq=190 Ack=15005 Win=516 Len=0"
"186","33.503195","2a06:c701:4f73:a700:9400:aba7:e96d:df75","2a03:2880:f242:1c7:face:b00c:0:7260","TCP","137","50912  >  5222 [PSH, ACK] Seq=190 Ack=15005 Win=516 Len=63 [TCP segment of a reassembled PDU]"
"187","33.552745","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","74","5222  >  50912 [ACK] Seq=15005 Ack=253 Win=1487 Len=0"
"227","43.313987","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","1466","5222  >  50912 [ACK] Seq=15005 Ack=253 Win=1487 Len=1392 [TCP segment of a reassembled PDU]"
"228","43.314358","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","173","5222  >  50912 [PSH, ACK] Seq=16397 Ack=253 Win=1487 Len=99 [TCP segment of a reassembled PDU]"
"229","43.314358","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:4f73:a700:9400:aba7:e96d:df75","TCP","1466","5222  >  50912 [ACK] Seq=16496 Ack=253 Win=1487 Len=1392 [TCP segment of a reassembled PDU]"
