"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","13.107.136.254","192.168.1.20","TCP","60","443  >  54759 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"3","1.125620","13.107.6.158","192.168.1.20","TCP","60","443  >  54765 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"6","2.246127","18.184.238.147","192.168.1.20","TCP","60","443  >  54137 [ACK] Seq=1 Ack=1 Win=27 Len=0"
"7","2.246221","192.168.1.20","18.184.238.147","TCP","54","[TCP ACKed unseen segment] 54137  >  443 [ACK] Seq=1 Ack=2 Win=512 Len=0"
"8","4.428220","192.168.1.20","35.186.224.25","TCP","55","54325  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP segment of a reassembled PDU]"
"9","4.441157","35.186.224.25","192.168.1.20","TCP","66","443  >  54325 [ACK] Seq=1 Ack=2 Win=278 Len=0 SLE=1 SRE=2"
"11","5.581397","192.168.1.20","157.240.252.60","TLSv1.2","135","Application Data"
"13","5.648625","157.240.252.60","192.168.1.20","TCP","60","443  >  53114 [ACK] Seq=1 Ack=82 Win=985 Len=0"
"15","6.860535","18.184.238.147","192.168.1.20","TCP","60","443  >  54133 [ACK] Seq=1 Ack=1 Win=27 Len=0"
"16","6.860598","192.168.1.20","18.184.238.147","TCP","54","[TCP ACKed unseen segment] 54133  >  443 [ACK] Seq=1 Ack=2 Win=513 Len=0"
"17","7.253326","192.168.1.20","52.114.76.237","TLSv1.2","113","Application Data"
"18","7.330873","52.114.76.237","192.168.1.20","TLSv1.2","102","Application Data"
"19","7.376541","192.168.1.20","52.114.76.237","TCP","54","52807  >  443 [ACK] Seq=60 Ack=49 Win=256 Len=0"
"20","7.784182","192.168.1.20","146.75.58.248","TCP","55","54635  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1 [TCP segment of a reassembled PDU]"
"21","7.784312","192.168.1.20","146.75.58.248","TCP","55","54634  >  443 [ACK] Seq=1 Ack=1 Win=1026 Len=1 [TCP segment of a reassembled PDU]"
"22","7.830974","192.168.1.20","146.75.58.248","TCP","55","54424  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1 [TCP segment of a reassembled PDU]"
"23","7.846024","192.168.1.20","146.75.58.248","TCP","55","54620  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1 [TCP segment of a reassembled PDU]"
